ticker,stonk
SITM,SiTime Corporation Common Stock
SIVB,SVB Financial Group Common Stock
SLAB,Silicon Laboratories Inc. Common Stock
SLGN,Silgan Holdings Inc. Common Stock
SLM,SLM Corporation Common Stock
SMCI,Super Micro Computer Inc. Common Stock
SMPL,The Simply Good Foods Company Common Stock
SMTC,Semtech Corporation Common Stock
SNPS,Synopsys Inc. Common Stock
SNY,Sanofi ADS
SOFI,SoFi Technologies Inc. Common Stock  
SONO,Sonos Inc. Common Stock
SPLK,Splunk Inc. Common Stock
SPSC,SPS Commerce Inc. Common Stock
SPT,Sprout Social Inc Class A Common Stock
SPWR,SunPower Corporation Common Stock
SRAD,Sportradar Group AG Class A Ordinary Shares
SRCL,Stericycle Inc. Common Stock
SRPT,Sarepta Therapeutics Inc. Common Stock (DE)
SSB,SouthState Corporation Common Stock
SSNC,SS&C Technologies Holdings Inc. Common Stock
SSRM,SSR Mining Inc. Common Stock
STAA,STAAR Surgical Company Common Stock
STFC,State Auto Financial Corporation Common Stock
STLD,Steel Dynamics Inc.
STNE,StoneCo Ltd. Class A Common Shares
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland)
SWAV,ShockWave Medical Inc. Common Stock
SWKS,Skyworks Solutions Inc. Common Stock
SWTX,SpringWorks Therapeutics Inc. Common Stock
SYNA,Synaptics Incorporated Common Stock $0.001 Par Value
SYNH,Syneos Health Inc. Class A Common Stock
TASK,TaskUs Inc. Class A Common Stock
TBK,Triumph Bancorp Inc. Common Stock
TCBI,Texas Capital Bancshares Inc. Common Stock
TCOM,Trip.com Group Limited American Depositary Shares
TEAM,Atlassian Corporation Plc Class A Ordinary Shares
TECH,Bio-Techne Corp Common Stock
TENB,Tenable Holdings Inc. Common Stock
TER,Teradyne Inc. Common Stock
TFSL,TFS Financial Corporation Common Stock
THRM,Gentherm Inc Common Stock
TIGO,Millicom International Cellular S.A. Common Stock
TLRY,Tilray Brands Inc. Class 2 Common Stock 
TMUS,T-Mobile US Inc. Common Stock
TNDM,Tandem Diabetes Care Inc. Common Stock
TOWN,TowneBank Common Stock
TPG,TPG Inc. Class A Common Stock
TRIP,TripAdvisor Inc. Common Stock
TRMB,Trimble Inc. Common Stock
TROW,T. Rowe Price Group Inc. Common Stock
TRUP,Trupanion Inc. Common Stock
TSCO,Tractor Supply Company Common Stock
TSEM,Tower Semiconductor Ltd. Ordinary Shares
TSLA,Tesla Inc. Common Stock
TSP,TuSimple Holdings Inc. Class A Common Stock
TTD,The Trade Desk Inc. Class A Common Stock
TTEC,TTEC Holdings Inc. Common Stock
TTEK,Tetra Tech Inc. Common Stock
TTGT,TechTarget Inc. Common Stock
TTWO,Take-Two Interactive Software Inc. Common Stock
TW,Tradeweb Markets Inc. Class A Common Stock
TWKS,Thoughtworks Holding Inc. Common Stock
TWNK,Hostess Brands Inc. Class A Common Stock
TWST,Twist Bioscience Corporation Common Stock
TXG,10x Genomics Inc. Class A Common Stock
TXN,Texas Instruments Incorporated Common Stock
TXRH,Texas Roadhouse Inc. Common Stock
UAL,United Airlines Holdings Inc. Common Stock
UBSI,United Bankshares Inc. Common Stock
UCBI,United Community Banks Inc. Common Stock
UCTT,Ultra Clean Holdings Inc. Common Stock
UDMY,Udemy Inc. Common Stock
UFPI,UFP Industries Inc. Common Stock
UHAL,Amerco Common Stock
ULCC,Frontier Group Holdings Inc. Common Stock
ULTA,Ulta Beauty Inc. Common Stock
UMBF,UMB Financial Corporation Common Stock
UMPQ,Umpqua Holdings Corporation Common Stock
UNIT,Uniti Group Inc. Common Stock
UPST,Upstart Holdings Inc. Common stock
UPWK,Upwork Inc. Common Stock
URBN,Urban Outfitters Inc. Common Stock
UTHR,United Therapeutics Corporation Common Stock
VC,Visteon Corporation Common Stock
VCSA,Vacasa Inc. Class A Common Stock
VCTR,Victory Capital Holdings Inc. Class A Common Stock
VEON,VEON Ltd. ADS
VERX,Vertex Inc. Class A Common Stock
VG,Vonage Holdings Corp. Common Stock
VIAC,ViacomCBS Inc. Class B Common Stock
VIACA,ViacomCBS Inc. Class A Common Stock
VIAV,Viavi Solutions Inc. Common Stock
VICR,Vicor Corporation Common Stock
VIR,Vir Biotechnology Inc. Common Stock
VIRT,Virtu Financial Inc. Class A Common Stock
VLY,Valley National Bancorp Common Stock
VMEO,Vimeo Inc. Common Stock
VNOM,Viper Energy Partners LP Common Unit
VOD,Vodafone Group Plc American Depositary Shares
VORB,Virgin Orbit Holdings Inc. Common Stock
VRNS,Varonis Systems Inc. Common Stock
VRNT,Verint Systems Inc. Common Stock
VRRM,Verra Mobility Corporation Class A Common Stock
VRSK,Verisk Analytics Inc. Common Stock
VRSN,VeriSign Inc. Common Stock
VRTX,Vertex Pharmaceuticals Incorporated Common Stock
VSAT,ViaSat Inc. Common Stock
VTRS,Viatris Inc. Common Stock
WAFD,Washington Federal Inc. Common Stock
WB,Weibo Corporation American Depositary Share
WBA,Walgreens Boots Alliance Inc. Common Stock
WDAY,Workday Inc. Class A Common Stock
WDC,Western Digital Corporation Common Stock
WDFC,WD-40 Company Common Stock
WEN,Wendy's Company (The) Common Stock
WERN,Werner Enterprises Inc. Common Stock
WFRD,Weatherford International plc Ordinary Shares
WING,Wingstop Inc. Common Stock
WIRE,Encore Wire Corporation Common Stock
WIX,Wix.com Ltd. Ordinary Shares
WMG,Warner Music Group Corp. Class A Common Stock
WOOF,Petco Health and Wellness Company Inc. Class A Common Stock
WSBC,WesBanco Inc. Common Stock
WSC,WillScot Mobile Mini Holdings Corp. Class A Common Stock
WSFS,WSFS Financial Corporation Common Stock
WTFC,Wintrust Financial Corporation Common Stock
WTW,Willis Towers Watson Public Limited Company Ordinary Shares
WWD,Woodward Inc. Common Stock
WYNN,Wynn Resorts Limited Common stock
XEL,Xcel Energy Inc. Common Stock
XLNX,Xilinx Inc. Common Stock
XM,Qualtrics International Inc. Class A Common Stock
XMTR,Xometry Inc. Class A Common Stock
XP,XP Inc. Class A Common Stock
XRAY,DENTSPLY SIRONA Inc. Common Stock
XRX,Xerox Holdings Corporation Common Stock
YNDX,Yandex N.V. Class A Ordinary Shares
YY,JOYY Inc. American Depositary Shares
Z,Zillow Group Inc. Class C Capital Stock
ZBRA,Zebra Technologies Corporation Class A Common Stock
ZD,Ziff Davis Inc. Common Stock
ZG,Zillow Group Inc. Class A Common Stock
ZI,ZoomInfo Technologies Inc Class A Common Stock
ZION,Zions Bancorporation N.A. Common Stock
ZLAB,Zai Lab Limited American Depositary Shares
ZM,Zoom Video Communications Inc. Class A Common Stock
ZNGA,Zynga Inc. Class A Common Stock
ZNTL,Zentalis Pharmaceuticals Inc. Common Stock
ZS,Zscaler Inc. Common Stock
